"","state","county","trend","model_elements"
"1","AK","ALEUTIANS EAST BOROUGH",-1.33684210526316,19
"2","AK","ALEUTIANS WEST",-0.659920182440153,15
"3","AK","ANCHORAGE BOROUGH",-0.742105263157909,19
"4","AK","BETHEL",-2.43684210526317,19
"5","AK","BRISTOL BAY BOROUGH",-1.82280701754397,19
"6","AK","COPPER RIVER CENSUS AREA",6.0181818181816,10
"7","AK","DENALI BOROUGH",-0.0216718266253718,18
"8","AK","DILLINGHAM",-1.78844169246643,18
"9","AK","FAIRBANKS NORTH STAR BOROUGH",-0.717543859649178,19
"10","AK","HAINES BOROUGH",-0.235087719298276,19
"11","AK","JUNEAU BOROUGH",-0.421052631578952,19
"12","AK","KENAI PENINSULA BOROUGH",-1.11052631578959,19
"13","AK","KETCHIKAN GATEWAY BOROUGH",-0.131578947368449,19
"14","AK","KODIAK ISLAND BOROUGH",-1.07719298245615,19
"15","AK","LAKE AND PENINSULA BOROUGH",-1.4705882352941,18
"16","AK","MATANUSKA-SUSITNA BOROUGH",-0.201754385965006,19
"17","AK","NOME",-1.80701754385984,19
"18","AK","NORTH SLOPE BOROUGH",-3.23157894736854,19
"19","AK","NORTHWEST ARCTIC BOROUGH",-2.69824561403522,19
"20","AK","PRINCE OF WALES-OUTER KETCHIKA",0.0446906035141317,15
"21","AK","SITKA BOROUGH",-0.153377847604082,18
"22","AK","SKAGWAY-HOONAH-ANGOON",-0.685964912280743,19
"23","AK","SOUTHEAST FAIRBANKS",-0.817543859649203,19
"24","AK","VALDEZ-CORDOVA",-0.41316146540029,17
"25","AK","WADE HAMPTON",-1.83384932920533,18
"26","AK","WRANGELL-PETERSBURG",0.463364293085652,18
"27","AK","YAKUTAT BOROUGH",0.0684210526315787,19
"28","AK","YUKON-KOYUKUK",-0.398245614035173,19
"29","AL","COLBERT",0.0338813151563767,13
"30","AL","FRANKLIN",-0.0692307692307671,11
"31","AL","LAWRENCE",-0.0170040485829981,11
"32","AL","LIMESTONE",-0.0789473684210539,11
"33","AL","MADISON",-0.0405017921146957,11
"34","AR","BAXTER",0.146685673556664,16
"35","AR","BENTON",-0.00104004160166895,17
"36","AR","BOONE",0.0649122807017532,19
"37","AR","CRITTENDEN",0.216055920355867,14
"38","AR","INDEPENDENCE",0.256461232604377,15
"39","AR","JACKSON",-0.16666666666667,10
"40","AR","JEFFERSON",0.121630960608155,14
"41","AR","LAWRENCE",0.124590163934426,16
"42","AR","MISSISSIPPI",-0.0272083943387122,17
"43","AR","MONTGOMERY",0.056985294117645,10
"44","AR","POPE",0.174846625766861,12
"45","AR","PRAIRIE",0.129348795718094,13
"46","AR","PULASKI",0.0690978886756242,13
"47","AR","SEBASTIAN",0.181570996978852,11
"48","AR","WASHINGTON",0.0887554936220331,18
"49","AR","WHITE",-0.103524229074891,12
"50","AZ","APACHE",0.103960396039604,11
"51","AZ","COCONINO",0.00917431192664625,12
"52","CA","EL DORADO",-0.315789473684225,19
"53","CA","MARIPOSA",-0.436764705882357,16
"54","CA","MODOC",-0.177768860353139,17
"55","CA","NEVADA",-0.500515995872029,18
"56","CO","ALAMOSA",-0.622807017543876,19
"57","CO","ARAPAHOE",-0.31166150670796,18
"58","CO","BOULDER",-0.368421052631629,19
"59","CO","EAGLE",-1.06491228070189,19
"60","CO","EL PASO",-0.382456140350894,19
"61","CO","GRAND",-0.855639976621858,16
"62","CO","GUNNISON",-0.766769865841075,18
"63","CO","LA PLATA",-0.607843137254901,18
"64","CO","LAKE",-2.2487100103199,18
"65","CO","LAS ANIMAS",-0.203691045796309,18
"66","CO","LINCOLN",-0.131578947368402,19
"67","CO","MESA",-0.782456140350878,19
"68","CO","MOFFAT",0.0771929824561752,19
"69","CO","MONTEZUMA",-0.360294117647061,17
"70","CO","MONTROSE",-0.538699690402475,18
"71","CO","OTERO",-0.375438596491257,19
"72","CO","PITKIN",-1.81733746130031,18
"73","CO","PUEBLO",-0.0105263157894722,19
"74","CO","RIO BLANCO",-0.731682146542787,18
"75","CO","ROUTT",-1.85036119711042,18
"76","CO","WASHINGTON",-0.319298245614034,19
"77","CO","WELD",-0.350877192982457,19
"78","CT","FAIRFIELD",-0.231107299817776,18
"79","CT","HARTFORD",-0.391228070175473,19
"80","CT","NEW HAVEN",-0.526851752599417,18
"81","CT","NEW LONDON",-0.598245614035112,19
"82","CT","WINDHAM",-0.726522187822492,18
"83","DC","LOUDOUN",-0.0940594059405925,16
"84","DE","KENT",-0.197030497592298,17
"85","DE","NEW CASTLE",-0.334333797834688,18
"86","DE","SUSSEX",-0.149163879598663,16
"87","IA","APPANOOSE",0.272727272727349,10
"88","IA","AUDUBON",0.176470588235292,18
"89","IA","BLACK HAWK",-0.414035087719288,19
"90","IA","CASS",0.295149638802852,18
"91","IA","CERRO GORDO",-0.0807017543859366,19
"92","IA","CLARKE",0.212121212121285,10
"93","IA","CLAY",-0.798761609907121,18
"94","IA","CLINTON",-0.654282765737873,18
"95","IA","DALLAS",0.169696969696979,10
"96","IA","DECATUR",-0.411764705882354,18
"97","IA","DES MOINES",0.117543859649217,19
"98","IA","DUBUQUE",-0.228070175438587,19
"99","IA","EMMET",-0.0371517027863877,18
"100","IA","FLOYD",0.269349845201243,18
"101","IA","HANCOCK",1.07272727272716,10
"102","IA","HARDIN",0.696969696969779,10
"103","IA","JASPER",0.17543859649131,19
"104","IA","JOHNSON",-0.217543859649163,19
"105","IA","LINN",-0.115789473684218,19
"106","IA","MAHASKA",0.154411764705875,17
"107","IA","MARSHALL",-0.418988648090815,18
"108","IA","O'BRIEN",0.563725490196076,17
"109","IA","POLK",-0.0473684210526232,19
"110","IA","POWESHIEK",-0.1470588235294,17
"111","IA","SCOTT",-0.513931888544889,18
"112","IA","STORY",-0.461300309597523,18
"113","IA","WAPELLO",-0.247368421052623,19
"114","IA","WEBSTER",-0.923632610939058,18
"115","IA","WOODBURY",-0.154385964912287,19
"116","ID","ADA",0.101754385964904,19
"117","ID","BLAINE",-0.0485036119709981,18
"118","ID","BONNEVILLE",-0.266666666666685,19
"119","ID","CANYON",-0.46347165400352,16
"120","ID","CASSIA",-0.517543859649123,19
"121","ID","ELMORE",0.179280397022328,16
"122","ID","KOOTENAI",-0.780185758513929,18
"123","ID","LEMHI",-1.24767801857585,18
"124","ID","MADISON",-0.577192982456139,19
"125","ID","NEZ PERCE",-0.00908114441949392,18
"126","ID","POWER",-0.654385964912488,19
"127","ID","SHOSHONE",-0.470175438596494,19
"128","ID","TWIN FALLS",-0.245614035087721,18
"129","ID","VALLEY",-1.56553147574819,18
"130","IL","ADAMS",-0.031578947368386,19
"131","IL","ALEXANDER",0.288921425085412,17
"132","IL","CHAMPAIGN",-0.424561403508772,19
"133","IL","CHRISTIAN",-0.0227038183694444,18
"134","IL","CLAY",-0.00515995872033025,18
"135","IL","COLES",-0.12590299277606,18
"136","IL","COOK",-0.69122807017545,19
"137","IL","CRAWFORD",0.373581011351909,18
"138","IL","DEKALB",-0.556140350877193,19
"139","IL","DUPAGE",-0.514963880288959,18
"140","IL","EDGAR",-0.0113519091847343,18
"141","IL","EFFINGHAM",-0.0608875128998976,18
"142","IL","JACKSON",0.0887512899896915,18
"143","IL","JEFFERSON",-0.0392156862745076,18
"144","IL","KNOX",0.0753353973168254,18
"145","IL","LAKE",-0.590299277605781,18
"146","IL","LAWRENCE",0.0485036119711032,18
"147","IL","MARION",-0.0278637770897816,18
"148","IL","MASSAC",0.206489675516224,16
"149","IL","MCLEAN",-0.35706914344684,18
"150","IL","MONTGOMERY",0.443627450980392,17
"151","IL","MORGAN",0.427244582043344,18
"152","IL","PEORIA",-0.34210526315795,19
"153","IL","PIKE",-0.0712074303405491,18
"154","IL","RANDOLPH",0.0629514963880304,18
"155","IL","RICHLAND",-0.153766769865826,18
"156","IL","ROCK ISLAND",-0.308771929824557,19
"157","IL","SALINE",0.341589267285858,18
"158","IL","SANGAMON",0.15614035087721,19
"159","IL","ST. CLAIR",0.0753353973168218,18
"160","IL","VERMILION",-0.038183694530423,18
"161","IL","WAYNE",0.0557275541795677,18
"162","IL","WHITE",0.239422084623312,18
"163","IL","WILL",-0.605263157894727,19
"164","IL","WINNEBAGO",-0.568421052631683,19
"165","IN","ALLEN",-0.612280701754453,19
"166","IN","BARTHOLOMEW",-0.231166150670796,18
"167","IN","DELAWARE",-1.28173374613002,18
"168","IN","DUBOIS",-0.350877192982444,18
"169","IN","ELKHART",-0.89473684210528,19
"170","IN","GRANT",1.05454545454513,10
"171","IN","HOWARD",-0.311661506707925,18
"172","IN","KOSCIUSKO",-0.609907120743034,18
"173","IN","LAWRENCE",-0.439705882352941,16
"174","IN","MARION",-0.296491228070185,19
"175","IN","MIAMI",-0.413828689370486,18
"176","IN","SHELBY",-1.00206398348808,18
"177","IN","ST. JOSEPH",-0.431578947368465,19
"178","IN","TIPPECANOE",-0.324561403508795,19
"179","IN","VANDERBURGH",-0.0649122807017307,19
"180","KS","BARTON",-0.313725490196111,18
"181","KS","CLOUD",-0.41578947368423,19
"182","KS","COWLEY",0.0203317281968965,17
"183","KS","FINNEY",-0.0666666666666714,19
"184","KS","FORD",-0.0614035087719364,19
"185","KS","GEARY",-0.398529411764708,16
"186","KS","GRAHAM",-0.287719298245614,19
"187","KS","HARVEY",-0.271413828689368,18
"188","KS","JOHNSON",-0.175438596491224,19
"189","KS","LYON",-0.322807017543861,19
"190","KS","MONTGOMERY",-0.00494917067954459,17
"191","KS","MORTON",-0.31785345717234,18
"192","KS","NEOSHO",-0.165076642726973,18
"193","KS","PRATT",0.0567595459236254,18
"194","KS","RENO",-0.389473684210567,19
"195","KS","RILEY",-0.210526315789449,19
"196","KS","RUSSELL",-0.280701754385992,19
"197","KS","SEWARD",-0.183694530443754,18
"198","KS","SHAWNEE",-0.0824561403509148,19
"199","KS","SHERMAN",-0.224561403508779,19
"200","KY","BELL",0.00562429696287151,15
"201","KY","BOONE",-0.259649122807019,19
"202","KY","CHRISTIAN",0.0528306490971202,17
"203","KY","DAVIESS",-0.00515995872032655,18
"204","KY","EDMONSON",-0.0754385964912304,19
"205","KY","FAYETTE",-0.324561403508774,19
"206","KY","FRANKLIN",-0.427244582043321,18
"207","KY","HARDIN",-0.099071207430339,18
"208","KY","HENDERSON",-0.0371517027863749,18
"209","KY","JEFFERSON",-0.133333333333332,18
"210","KY","PULASKI",0.0319917440660489,18
"211","KY","WARREN",0.0174787618396641,18
"212","KY","WAYNE",-0.218137254901959,17
"213","KY","WOODFORD",-0.231578947368455,19
"214","MA","BARNSTABLE",-0.436532507739926,18
"215","MA","BERKSHIRE",-1.07533539731681,18
"216","MA","BRISTOL",-0.597523219814213,18
"217","MA","DUKES",-0.410732714138253,18
"218","MA","ESSEX",-0.874097007223876,18
"219","MA","FRANKLIN",-1.30350877192989,19
"220","MA","HAMPDEN",-0.929824561403552,19
"221","MA","MIDDLESEX",-0.946336429308573,18
"222","MA","NANTUCKET",-0.416550541322745,18
"223","MA","NORFOLK",-0.994736842105263,19
"224","MA","PLYMOUTH",-0.769865841073247,18
"225","MA","SUFFOLK",-0.292982456140356,19
"226","MA","WORCESTER",-1.12280701754388,19
"227","MD","ANNE ARUNDEL",-0.226330027051398,15
"228","MD","BALTIMORE",0.208035714285668,15
"229","MD","BALTIMORE (CITY)",-0.0639436619718258,16
"230","MD","CALVERT",-0.0721126760563394,16
"231","MD","FREDERICK",0.164526484751203,17
"232","MD","HARFORD",-0.185077519379846,17
"233","MD","MONTGOMERY",-0.921212121212199,10
"234","MD","PRINCE GEORGE'S",-0.035446762974854,17
"235","MD","WASHINGTON",-0.602683178534562,18
"236","MD","WICOMICO",-0.150140845070422,16
"237","MD","WORCESTER",-0.0226345840130446,15
"238","ME","ANDROSCOGGIN",-1.69246646026831,18
"239","ME","AROOSTOOK",-0.807017543859672,19
"240","ME","CUMBERLAND",-0.521052631578948,19
"241","ME","HANCOCK",-1.12796697626419,18
"242","ME","KENNEBEC",-1.3614035087719,19
"243","ME","KNOX",-1.1155830753354,18
"244","ME","LINCOLN",-1.2239422084623,18
"245","ME","OXFORD",-1.26934984520123,18
"246","ME","PENOBSCOT",-0.752631578947418,19
"247","ME","PISCATAQUIS",-1.04953560371516,18
"248","ME","YORK",-1.43446852425177,18
"249","MI","ALGER",-0.23157894736835,19
"250","MI","ALPENA",-1.08245614035095,19
"251","MI","BENZIE",0.502579979360163,18
"252","MI","BERRIEN",-1.13725490196076,18
"253","MI","CALHOUN",-0.977192982456175,19
"254","MI","CHIPPEWA",-1.49298245614046,19
"255","MI","CLINTON",-0.729824561403554,19
"256","MI","DELTA",-1.22910216718266,18
"257","MI","DICKINSON",-0.316821465428282,18
"258","MI","EMMET",-0.778947368421126,19
"259","MI","GENESEE",-1.07192982456147,19
"260","MI","GOGEBIC",-0.679050567595469,18
"261","MI","GRAND TRAVERSE",-1.20877192982456,19
"262","MI","GRATIOT",-0.302373581011357,18
"263","MI","HOUGHTON",-0.949122807017489,19
"264","MI","HURON",-1.4891640866873,18
"265","MI","INGHAM",-0.402476780185758,18
"266","MI","IOSCO",-0.487719298245589,19
"267","MI","JACKSON",-1.01052631578963,19
"268","MI","KALAMAZOO",-1.07223942208451,18
"269","MI","KENT",-0.742105263157904,19
"270","MI","KEWEENAW",-1.30959752321982,18
"271","MI","MACKINAC",-0.0288957688338622,18
"272","MI","MACOMB",-0.95356037151694,18
"273","MI","MANISTEE",-1.28586171310629,18
"274","MI","MARQUETTE",0.282765737874094,18
"275","MI","MECOSTA",-0.800825593395255,18
"276","MI","MENOMINEE",-1.21981424148607,18
"277","MI","MONROE",-0.393188854489166,18
"278","MI","MUSKEGON",-0.892982456140346,19
"279","MI","OAKLAND",-0.276573787409701,18
"280","MI","OTSEGO",0.438235294117655,16
"281","MI","PRESQUE ISLE",-0.00412796697627271,18
"282","MI","ROSCOMMON",-0.745614035087781,19
"283","MI","SAGINAW",-1.41052631578948,19
"284","MI","SHIAWASSEE",-0.873065015479856,18
"285","MI","ST. JOSEPH",-0.224974200206416,18
"286","MI","TUSCOLA",-0.147058823529394,17
"287","MI","VAN BUREN",0.263157894736839,18
"288","MI","WASHTENAW",-1.2786377708978,18
"289","MI","WAYNE",-0.550877192982496,19
"290","MI","WEXFORD",-0.345614035087682,19
"291","MN","AITKIN",0.311661506707925,18
"292","MN","ANOKA",-0.435500515995874,18
"293","MN","BECKER",0.51186790505675,18
"294","MN","BELTRAMI",0.661506707946337,18
"295","MN","BLUE EARTH",-0.591331269349875,18
"296","MN","CASS",1.37564499484002,18
"297","MN","COOK",0.091847265221893,18
"298","MN","CROW WING",0.255933952528386,18
"299","MN","DAKOTA",0.0245614035088305,19
"300","MN","DOUGLAS",0.317543859649173,19
"301","MN","FREEBORN",-0.228070175438601,18
"302","MN","GOODHUE",-0.0245098039215747,17
"303","MN","HENNEPIN",-0.261403508771916,19
"304","MN","HUBBARD",0.29298245614042,19
"305","MN","ITASCA",-0.19091847265223,18
"306","MN","KOOCHICHING",-0.199999999999997,19
"307","MN","LAKE OF THE WOODS",0.433333333333428,19
"308","MN","LYON",-0.116615067079469,18
"309","MN","MARTIN",-0.667698658410734,18
"310","MN","MURRAY",0.365196078431373,17
"311","MN","NOBLES",-0.435500515995876,18
"312","MN","OLMSTED",0.19122807017549,19
"313","MN","OTTER TAIL",0.686274509803906,18
"314","MN","PENNINGTON",-0.487100103199187,18
"315","MN","PINE",0.236764705882361,16
"316","MN","REDWOOD",0.164912280701791,19
"317","MN","RICE",-0.8782249742002,18
"318","MN","ROCK",0.306372549019609,17
"319","MN","SHERBURNE",-0.0491228070175776,19
"320","MN","ST. LOUIS",0.240350877193056,19
"321","MN","STEARNS",3.46060606060603,10
"322","MN","SWIFT",0.689370485036107,18
"323","MN","WADENA",0.135190918472639,18
"324","MN","WASECA",0.57894736842104,18
"325","MN","WATONWAN",-0.327141382868935,18
"326","MN","WRIGHT",0.150670794633633,18
"327","MN","YELLOW MEDICINE",0.0245098039215634,17
"328","MO","ADAIR",-0.0350877192982213,19
"329","MO","BARTON",0.107352941176471,16
"330","MO","BUCHANAN",-0.191228070175434,19
"331","MO","CLAY",-0.268421052631597,19
"332","MO","DENT",-0.127941176470588,16
"333","MO","GREENE",0.126916068174517,18
"334","MO","HOWELL",-0.0577915376676968,18
"335","MO","JACKSON",-0.206398348813205,18
"336","MO","JASPER",-0.0105263157894927,19
