state,county,year,freezing_days
MN,ST. LOUIS,2021,59
AK,NORTHWEST ARCTIC BOROUGH,2021,128
AK,NORTH SLOPE BOROUGH,2021,138
AK,WADE HAMPTON,2021,117
WA,KITTITAS,2021,10
AK,VALDEZ-CORDOVA,2021,5
TX,ROBERTSON,2021,5
MI,MANISTEE,2021,29
WI,DOUGLAS,2021,63
ND,WARD,2021,49
AK,YUKON-KOYUKUK,2021,119
AK,SOUTHEAST FAIRBANKS,2021,144
AK,NOME,2021,131
AK,BETHEL,2021,22
AK,KENAI PENINSULA BOROUGH,2021,47
AK,FAIRBANKS NORTH STAR BOROUGH,2021,131
AK,MATANUSKA-SUSITNA BOROUGH,2021,89
AK,JUNEAU BOROUGH,2021,34
TX,WISE,2021,9
IN,KOSCIUSKO,2021,25
OK,CANADIAN,2021,9
WY,LINCOLN,2021,37
IA,HANCOCK,2021,44
TX,TAYLOR,2021,9
MI,TUSCOLA,2021,36
IL,KNOX,2021,42
MN,YELLOW MEDICINE,2021,49
TX,TOM GREEN,2021,6
WI,VILAS,2021,64
MO,MARIES,2021,14
KS,RENO,2021,12
KS,LYON,2021,13
CO,WELD,2021,11
PA,INDIANA,2021,17
NY,ONEIDA,2021,32
IL,COOK,2021,19
OH,HANCOCK,2021,17
MI,INGHAM,2021,37
MI,MONROE,2021,22
IL,ROCK ISLAND,2021,24
IA,CASS,2021,29
IA,DUBUQUE,2021,41
IA,DECATUR,2021,26
NE,RED WILLOW,2021,21
CO,ROUTT,2021,18
WY,FREMONT,2021,12
ID,VALLEY,2021,38
NH,GRAFTON,2021,21
NH,COOS,2021,51
NY,FRANKLIN,2021,64
MI,WEXFORD,2021,50
MI,IOSCO,2021,38
WI,POLK,2021,51
WI,LA CROSSE,2021,45
WI,JEFFERSON,2021,47
MI,DELTA,2021,39
WI,SAUK,2021,44
WI,SAWYER,2021,62
SD,DAVISON,2021,37
MN,WATONWAN,2021,53
MN,DOUGLAS,2021,71
MN,HENNEPIN,2021,46
