"","state","county","trend","model_elements"
"1","AK","ALEUTIANS EAST BOROUGH",-3.30714285714286,15
"2","AK","ALEUTIANS WEST",-5.23928571428533,15
"3","AK","ANCHORAGE BOROUGH",0.471929824561402,19
"4","AK","BETHEL",-8.8543859649123,19
"5","AK","BRISTOL BAY BOROUGH",1.00526315789465,19
"6","AK","FAIRBANKS NORTH STAR BOROUGH",2.44891640866871,18
"7","AK","JUNEAU BOROUGH",0.412280701754372,19
"8","AK","KODIAK ISLAND BOROUGH",-4.25357142857156,15
"9","AK","MATANUSKA-SUSITNA BOROUGH",2.32280701754385,19
"10","AK","NOME",-9.21929824561397,19
"11","AK","NORTH SLOPE BOROUGH",0.63673890608874,18
"12","AK","NORTHWEST ARCTIC BOROUGH",-7.67857142857107,15
"13","AK","PRINCE OF WALES-OUTER KETCHIKA",0.0703296703295701,14
"14","AK","SKAGWAY-HOONAH-ANGOON",-2.2477477477477,16
"15","AK","SOUTHEAST FAIRBANKS",-0.42280701754386,19
"16","AK","VALDEZ-CORDOVA",-8.57719298245646,19
"17","AK","WADE HAMPTON",0.261083743842361,14
"18","AK","WRANGELL-PETERSBURG",-2.51648351648353,12
"19","AK","YAKUTAT BOROUGH",-3.42857142857148,15
"20","AK","YUKON-KOYUKUK",0.0526315789473658,19
"21","AR","PULASKI",0.0296648550724692,13
"22","CA","INYO",0.149797570850206,10
"23","CA","NEVADA",2.0639834881321,18
"24","CO","ALAMOSA",-1.47549019607847,17
"25","CO","ARAPAHOE",-2.13622291021671,18
"26","CO","EL PASO",0.857894736842108,19
"27","CO","MESA",-1.77696078431368,17
"28","CO","PUEBLO",0.147058823529416,17
"29","CT","FAIRFIELD",-0.580882352941209,17
"30","CT","HARTFORD",1.69770368040261,12
"31","DC","LOUDOUN",-0.0684210526315791,19
"32","DE","KENT",-0.430933713471137,16
"33","DE","NEW CASTLE",-0.161764705882357,17
"34","IA","BLACK HAWK",0.161764705882351,17
"35","IA","CERRO GORDO",0.465686274509869,17
"36","IA","DUBUQUE",0.144607843137239,17
"37","IA","POLK",1.02105263157898,19
"38","IA","SCOTT",1.84615384615366,12
"39","IA","WOODBURY",-0.953431372549042,17
"40","ID","ADA",0.389705882352943,17
"41","ID","ELMORE",-0.289433384379784,16
"42","ID","NEZ PERCE",0.907289002557539,16
"43","ID","POWER",1.20322865988502,18
"44","IL","COOK",-0.507017543859699,19
"45","IL","PEORIA",0.317543859649123,19
"46","IL","SANGAMON",1.97431514157978e-14,17
"47","IL","ST. CLAIR",0.189886480908182,18
"48","IL","WINNEBAGO",-0.507017543859702,19
"49","IN","ALLEN",-1.74035087719303,19
"50","IN","MARION",-0.811274509803919,17
"51","IN","MIAMI",-0.128998968008258,18
"52","IN","ST. JOSEPH",-1.6140350877193,19
"53","IN","VANDERBURGH",0.361566484517304,14
"54","KS","CLOUD",-0.485294117647059,16
"55","KS","FORD",0.382352941176499,17
"56","KS","GEARY",-0.640906987505821,10
"57","KS","SHAWNEE",-0.844117647058828,16
"58","KS","SHERMAN",-1.19607843137255,17
"59","KY","BOONE",-0.17894736842107,19
"60","KY","CHRISTIAN",-0.0978064516129051,12
"61","KY","FAYETTE",0.588235294117653,17
"62","KY","HARDIN",-0.0424528301886762,16
"63","KY","JEFFERSON",0.282456140351005,19
"64","MA","HAMPDEN",-0.482972136222903,18
"65","MA","NORFOLK",-1.69558823529412,16
"66","MD","ANNE ARUNDEL",-0.203508771929818,19
"67","MD","CALVERT",-0.25510204081634,15
"68","MD","PRINCE GEORGE'S",-0.220526315789467,16
"69","ME","AROOSTOOK",1.24019607843135,17
"70","ME","CUMBERLAND",0.642105263157904,19
"71","ME","PENOBSCOT",0.593137254901995,17
"72","MI","ALPENA",-1.29166666666669,17
"73","MI","CHIPPEWA",1.22058823529418,17
"74","MI","CLINTON",-2.12982456140351,19
"75","MI","GENESEE",-1.02982456140351,19
"76","MI","GRAND TRAVERSE",0.171929824561408,19
"77","MI","KENT",-0.854385964912281,19
"78","MI","MACOMB",-1.7481940144478,18
"79","MI","MUSKEGON",-0.656140350877193,19
"80","MI","OAKLAND",-2.20909090909091,11
"81","MI","ROSCOMMON",-1.16421568627451,17
"82","MI","SAGINAW",1.41258741258741,12
"83","MI","WAYNE",-0.373684210526313,19
"84","MN","HENNEPIN",1.20175438596491,19
"85","MN","KOOCHICHING",1.11274509803921,17
"86","MN","OLMSTED",0.600490196078522,17
"87","MN","SHERBURNE",0.308823529411796,17
"88","MN","ST. LOUIS",1.71754385964914,19
"89","MO","GREENE",-0.249999999999996,17
"90","MO","JOHNSON",0.0299277605779113,18
"91","MO","ST. LOUIS",-0.256140350877193,19
"92","MT","BEAVERHEAD",2.26225490196075,17
"93","MT","CASCADE",1.60539215686275,17
"94","MT","FERGUS",-0.384803921568637,17
"95","MT","FLATHEAD",-0.392156862745075,17
"96","MT","GALLATIN",3.39378238341928,12
"97","MT","GLACIER",2.61274509803928,17
"98","MT","HILL",1.10049019607842,17
"99","MT","LEWIS AND CLARK",2.69607843137277,17
"100","MT","MISSOULA",2.70833333333333,17
"101","MT","VALLEY",0.80882352941178,17
"102","MT","YELLOWSTONE",1.67894736842106,19
"103","NC","GUILFORD",0.17616114960227,17
"104","NC","MECKLENBURG",0.0603808639108253,13
"105","NC","WAKE",-0.0709736123748847,15
"106","ND","BURLEIGH",-0.534313725490306,17
"107","ND","CASS",6.587912087912,13
"108","ND","GRAND FORKS",1.02167182662539,18
"109","ND","WARD",-0.466328653146145,17
"110","NE","ADAMS",0.643356643356642,12
"111","NE","CHERRY",0.669117647058837,17
"112","NE","DOUGLAS",-0.310526315789462,19
"113","NE","HALL",-1.16421568627457,17
"114","NE","LANCASTER",-0.921568627451062,17
"115","NE","LINCOLN",-0.642156862745117,17
"116","NE","MADISON",-1.19117647058822,17
"117","NE","SARPY",-0.565531475748174,18
"118","NE","SCOTTS BLUFF",-0.120098039215685,17
"119","NH","COOS",-0.754901960784307,17
"120","NH","HILLSBOROUGH",1.24285714285713,15
"121","NH","MERRIMACK",1.35741687979541,16
"122","NJ","ATLANTIC",-0.602469670710607,15
"123","NJ","BERGEN",-0.294736842105277,19
"124","NJ","BURLINGTON",0.340557275541812,18
"125","NJ","ESSEX",-0.563157894736844,19
"126","NM","BERNALILLO",0.074929690638812,18
"127","NM","CHAVES",-0.121579551040472,16
"128","NM","CURRY",-0.0389999999999921,15
"129","NM","UNION",-1.03431372549018,17
"130","NV","CHURCHILL",-0.0540540540540551,10
"131","NV","ELKO",-1.74097007223942,18
"132","NV","HUMBOLDT",0.303921568627455,17
"133","NV","WASHOE",0.235294117647055,17
"134","NV","WHITE PINE",1.42177348551361,16
"135","NY","ALBANY",1.30701754385966,19
"136","NY","ERIE",-1.31578947368408,19
"137","NY","JEFFERSON",2.07946336429308,18
"138","NY","MONROE",-1.18771929824561,19
"139","NY","NEW YORK",-0.222910216718257,18
"140","NY","ONONDAGA",-0.0421052631578966,19
"141","NY","QUEENS",-0.584210526315791,19
"142","NY","SULLIVAN",-1.47802197802198,13
"143","OH","CUYAHOGA",-1.6,19
"144","OH","FRANKLIN",-0.400000000000002,19
"145","OH","GREENE",-0.449948400412794,18
"146","OH","LUCAS",-0.470588235294124,17
"147","OH","MONTGOMERY",-0.0210526315789392,19
"148","OH","RICHLAND",-0.973039215686299,17
"149","OH","SUMMIT",-0.69122807017544,19
"150","OH","TRUMBULL",-0.843859649122807,19
"151","OK","GARFIELD",-0.187942583732044,14
"152","OK","KIOWA",0.155870445344129,10
"153","OK","OKLAHOMA",-0.144756277695727,17
"154","OK","TULSA",-0.229824561403507,19
"155","OR","KLAMATH",-1.83636363636363,10
"156","OR","MULTNOMAH",-0.0546533416614972,15
"157","OR","UMATILLA",-5.88235294117645,17
"158","PA","ALLEGHENY",-1.07017543859649,19
"159","PA","DAUPHIN",0.448529411764737,17
"160","PA","ERIE",-1.40931372549018,17
"161","PA","LEBANON",0.190918472652222,18
"162","PA","LEHIGH",-0.507352941176475,16
"163","PA","LYCOMING",0.387254901960784,17
"164","PA","PHILADELPHIA",-0.161403508771931,19
"165","RI","KENT",-0.507017543859641,19
"166","SD","BEADLE",-0.762254901960819,17
"167","SD","BROWN",-0.90931372549022,17
"168","SD","CODINGTON",0.666666666666678,17
"169","SD","DAVISON",-0.309090909090927,11
"170","SD","HUGHES",-1.32867132867174,12
"171","SD","MEADE",-0.881320949432366,18
"172","SD","MINNEHAHA",-0.394736842105296,19
"173","SD","PENNINGTON",0.643956043956071,14
"174","SD","ROBERTS",3.07692307692267,12
"175","SD","WALWORTH",2.02097902097859,12
"176","TN","BLOUNT",-0.0154559505409557,14
"177","TN","DAVIDSON",0.0979418026969861,12
"178","TN","SHELBY",0.259817671809257,14
"179","TN","SULLIVAN",0.0807017543859747,19
"180","TX","EL PASO",-0.0942857142857119,10
"181","TX","LUBBOCK",-0.0580059728922677,17
"182","TX","POTTER",-0.488132094943239,18
"183","TX","TAYLOR",-0.0615916955017615,11
"184","TX","WICHITA",0.335748792270535,15
"185","UT","DAVIS",0.214736842105259,16
"186","UT","SALT LAKE",-0.98421052631579,19
"187","UT","TOOELE",-0.333143993183758,10
"188","VA","ACCOMACK",0.0100965107646606,16
"189","VA","ARLINGTON",-0.349983921106231,18
"190","VA","CAMPBELL",0.0612627073301266,17
"191","VA","FAIRFAX",-0.642857142857143,13
"192","VA","HENRICO",0.014899774895526,18
"193","VA","LOUDOUN",-0.068421052631542,19
"194","VA","NORFOLK (CITY)",-0.0695384615384298,12
"195","VA","PITTSYLVANIA",0.235995232419557,11
"196","VA","ROANOKE",-0.138596491228093,19
"197","VA","VIRGINIA BEACH (CITY)",-0.408979990239131,10
"198","VT","CHITTENDEN",0.280701754385975,19
"199","WA","ISLAND",0.15602228889841,13
"200","WA","KING",0.284451079467136,17
"201","WA","PIERCE",0.0477061981454149,17
"202","WA","SPOKANE",0.631578947368428,19
"203","WA","YAKIMA",0.0659037095500869,13
"204","WI","BROWN",-0.830882352941158,17
"205","WI","CHIPPEWA",3.29720279720235,12
"206","WI","DANE",0.142105263157896,19
"207","WI","JUNEAU",0.104231166150671,18
"208","WI","LA CROSSE",0.120098039215697,17
"209","WI","MARATHON",-0.409313725490165,17
"210","WI","MILWAUKEE",-1.40877192982472,19
"211","WI","WINNEBAGO",0.423076923076984,12
"212","WI","WOOD",-0.576923076923694,12
"213","WV","KANAWHA",-0.421052631578945,19
"214","WV","RANDOLPH",-0.931372549019598,17
"215","WY","FREMONT",0.651470588235271,16
"216","WY","LARAMIE",0.411764705882362,17
"217","WY","NATRONA",1.37352941176472,16
