state,county,year,snow_days
AK,MATANUSKA-SUSITNA BOROUGH,2022,190
AK,ANCHORAGE BOROUGH,2022,176
CA,NEVADA,2022,109
AK,YUKON-KOYUKUK,2022,220
AK,FAIRBANKS NORTH STAR BOROUGH,2022,208
AK,SOUTHEAST FAIRBANKS,2022,217
AK,VALDEZ-CORDOVA,2022,94
TN,DAVIDSON,2022,15
OK,OKLAHOMA,2022,11
KY,FAYETTE,2022,31
NY,ONONDAGA,2022,97
OH,SUMMIT,2022,57
NY,ERIE,2022,95
IL,PEORIA,2022,53
UT,SALT LAKE,2022,53
NV,HUMBOLDT,2022,32
NH,MERRIMACK,2022,88
MI,KENT,2022,89
MI,GENESEE,2022,80
MI,SAGINAW,2022,73
MI,GRAND TRAVERSE,2022,95
WI,LA CROSSE,2022,94
WI,CHIPPEWA,2022,100
IA,CLAY,2022,36
MN,HENNEPIN,2022,118
MN,KOOCHICHING,2022,150
ND,CASS,2022,128
ND,GRAND FORKS,2022,149
ND,BURLEIGH,2022,113
MT,BEAVERHEAD,2022,76
MT,MISSOULA,2022,107
MT,HILL,2022,80
IA,SCOTT,2022,46
AK,MATANUSKA-SUSITNA BOROUGH,2021,208
AK,FAIRBANKS NORTH STAR BOROUGH,2021,215
CA,NEVADA,2021,71
MT,GALLATIN,2021,51
AK,YUKON-KOYUKUK,2021,219
AK,ANCHORAGE BOROUGH,2021,172
AK,BRISTOL BAY BOROUGH,2021,152
AK,JUNEAU BOROUGH,2021,118
MO,GREENE,2021,13
MO,JOHNSON,2021,11
KS,FORD,2021,16
NV,WASHOE,2021,16
NY,QUEENS,2021,27
PA,LYCOMING,2021,42
PA,LEBANON,2021,17
NY,ALBANY,2021,54
OH,TRUMBULL,2021,58
NY,MONROE,2021,58
IL,COOK,2021,62
IL,WINNEBAGO,2021,68
IA,DUBUQUE,2021,73
IA,CERRO GORDO,2021,71
NE,LANCASTER,2021,44
NE,HALL,2021,39
NE,SARPY,2021,32
NE,MADISON,2021,50
UT,DAVIS,2021,40
ME,CUMBERLAND,2021,61
ME,PENOBSCOT,2021,88
MI,SAGINAW,2021,65
MI,ALPENA,2021,95
WI,DANE,2021,77
WI,CHIPPEWA,2021,90
WI,MARATHON,2021,93
SD,ROBERTS,2021,48
MN,SHERBURNE,2021,99
SD,WALWORTH,2021,22
ME,AROOSTOOK,2021,123
MI,CHIPPEWA,2021,138
MN,ST. LOUIS,2021,116
ND,GRAND FORKS,2021,110
MT,BEAVERHEAD,2021,34
MT,FLATHEAD,2021,63
OH,GREENE,2021,24
AK,MATANUSKA-SUSITNA BOROUGH,2020,202
AK,SKAGWAY-HOONAH-ANGOON,2020,83
WI,WINNEBAGO,2020,72
AK,ANCHORAGE BOROUGH,2020,167
MO,JOHNSON,2020,15
AK,YUKON-KOYUKUK,2020,209
AK,FAIRBANKS NORTH STAR BOROUGH,2020,194
AK,JUNEAU BOROUGH,2020,93
OK,OKLAHOMA,2020,12
KY,JEFFERSON,2020,2
OH,MONTGOMERY,2020,26
CO,ALAMOSA,2020,47
OH,CUYAHOGA,2020,43
PA,ERIE,2020,38
NY,ERIE,2020,54
NY,MONROE,2020,59
IL,COOK,2020,45
MI,CLINTON,2020,42
IA,CERRO GORDO,2020,74
NE,ADAMS,2020,36
NE,MADISON,2020,42
WY,LARAMIE,2020,45
NE,CHERRY,2020,52
ME,CUMBERLAND,2020,81
ME,PENOBSCOT,2020,76
VT,CHITTENDEN,2020,86
MI,GRAND TRAVERSE,2020,84
WI,DANE,2020,85
WI,LA CROSSE,2020,68
WI,JUNEAU,2020,67
WI,BROWN,2020,66
SD,BEADLE,2020,84
SD,CODINGTON,2020,99
MN,CROW WING,2020,96
WY,FREMONT,2020,125
MT,YELLOWSTONE,2020,76
ME,AROOSTOOK,2020,143
MI,CHIPPEWA,2020,128
MN,ST. LOUIS,2020,165
ND,GRAND FORKS,2020,123
WA,SPOKANE,2020,60
NY,JEFFERSON,2020,47
NH,HILLSBOROUGH,2020,66
IA,SCOTT,2020,31
AK,SKAGWAY-HOONAH-ANGOON,2021,75
MT,HILL,2021,53
NH,COOS,2021,189
AK,SOUTHEAST FAIRBANKS,2021,210
OK,KIOWA,2021,6
KY,BOONE,2021,30
CO,EL PASO,2021,44
OH,SUMMIT,2021,46
PA,ERIE,2021,47
IA,POLK,2021,67
NE,ADAMS,2021,39
NE,SCOTTS BLUFF,2021,37
NE,CHERRY,2021,51
NH,MERRIMACK,2021,89
MI,KENT,2021,76
MN,OLMSTED,2021,73
WI,WOOD,2021,24
WY,FREMONT,2021,55
MT,FERGUS,2021,57
NM,UNION,2022,11
WV,RANDOLPH,2022,35
OH,RICHLAND,2022,35
IL,ST. CLAIR,2022,16
NV,WHITE PINE,2022,91
OH,CUYAHOGA,2022,65
OH,TRUMBULL,2022,67
PA,ERIE,2022,48
NY,MONROE,2022,70
MI,MACOMB,2022,36
IA,DUBUQUE,2022,71
NE,SCOTTS BLUFF,2022,54
UT,DAVIS,2022,51
ID,POWER,2022,72
ME,CUMBERLAND,2022,67
ME,PENOBSCOT,2022,72
VT,CHITTENDEN,2022,96
MI,MUSKEGON,2022,84
WI,DANE,2022,101
WI,JUNEAU,2022,52
WI,MARATHON,2022,109
SD,BEADLE,2022,49
SD,CODINGTON,2022,92
MI,CHIPPEWA,2022,136
NH,COOS,2020,201
AK,BETHEL,2020,18
AK,VALDEZ-CORDOVA,2020,138
PA,DAUPHIN,2020,17
OH,RICHLAND,2020,27
NV,WHITE PINE,2020,39
NY,ONONDAGA,2020,79
OH,SUMMIT,2020,47
OH,TRUMBULL,2020,68
IA,BLACK HAWK,2020,70
WY,NATRONA,2020,69
MI,MUSKEGON,2020,59
MI,ROSCOMMON,2020,91
MN,OLMSTED,2020,75
MN,SHERBURNE,2020,94
SD,BROWN,2020,81
MT,HILL,2020,66
MT,FLATHEAD,2020,71
CA,NEVADA,2020,53
AK,BRISTOL BAY BOROUGH,2020,150
CO,ARAPAHOE,2020,41
RI,KENT,2020,15
PA,LYCOMING,2020,26
MI,WAYNE,2020,44
IA,WOODBURY,2020,54
MI,ALPENA,2020,96
MT,FERGUS,2020,73
MN,KOOCHICHING,2020,151
ND,CASS,2020,104
OH,GREENE,2020,14
MD,ANNE ARUNDEL,2020,5
WV,RANDOLPH,2020,30
KY,FAYETTE,2020,12
IL,SANGAMON,2020,18
CO,PUEBLO,2020,17
CT,HARTFORD,2020,31
NY,ALBANY,2020,46
IA,POLK,2020,66
IA,DUBUQUE,2020,73
NE,LANCASTER,2020,25
NE,HALL,2020,32
MI,KENT,2020,50
SD,MINNEHAHA,2020,73
SD,ROBERTS,2020,82
MN,HENNEPIN,2020,91
MT,GALLATIN,2020,62
MT,VALLEY,2020,79
MA,NORFOLK,2020,23
CO,ARAPAHOE,2021,25
TX,DALLAM,2021,10
AK,BETHEL,2021,13
TX,BEXAR,2021,6
NY,ONONDAGA,2021,73
IN,ALLEN,2021,32
IA,WOODBURY,2021,53
WY,NATRONA,2021,76
MI,BERRIEN,2021,21
MI,MUSKEGON,2021,68
MI,ROSCOMMON,2021,93
WI,MILWAUKEE,2021,70
SD,CODINGTON,2021,98
SD,HUGHES,2021,20
ND,CASS,2021,95
NH,HILLSBOROUGH,2021,61
TX,CHILDRESS,2021,9
AR,JEFFERSON,2021,8
NJ,BURLINGTON,2021,20
OH,MONTGOMERY,2021,30
CO,ALAMOSA,2021,17
CT,HARTFORD,2021,44
MI,GRAND TRAVERSE,2021,75
MN,KOOCHICHING,2021,121
MT,LEWIS AND CLARK,2021,44
ID,NEZ PERCE,2021,14
IA,SCOTT,2021,66
AK,NORTH SLOPE BOROUGH,2022,11
AK,BRISTOL BAY BOROUGH,2022,130
MO,ST. LOUIS,2022,27
CT,HARTFORD,2022,47
NY,ALBANY,2022,72
IN,ALLEN,2022,37
IN,ST. JOSEPH,2022,68
IA,BLACK HAWK,2022,82
MI,ROSCOMMON,2022,106
MI,ALPENA,2022,106
WI,MILWAUKEE,2022,55
WI,BROWN,2022,69
SD,ROBERTS,2022,107
ID,ADA,2022,29
ME,AROOSTOOK,2022,138
MT,VALLEY,2022,85
MT,CASCADE,2022,97
NH,HILLSBOROUGH,2022,54
AK,VALDEZ-CORDOVA,2021,151
OH,CLINTON,2021,24
IL,SANGAMON,2021,29
KS,SHAWNEE,2021,17
KS,SHERMAN,2021,16
NJ,ESSEX,2021,24
NJ,BERGEN,2021,14
CT,FAIRFIELD,2021,31
RI,KENT,2021,31
NY,ERIE,2021,56
MI,WAYNE,2021,46
NV,HUMBOLDT,2021,25
WI,LA CROSSE,2021,75
SD,DAVISON,2021,55
ND,BURLEIGH,2021,43
AK,SOUTHEAST FAIRBANKS,2020,187
TN,SULLIVAN,2020,10
IN,ST. JOSEPH,2020,30
IL,WINNEBAGO,2020,52
ID,POWER,2020,31
WI,MARATHON,2020,97
WI,WOOD,2020,81
MT,CASCADE,2020,54
VA,LOUDOUN,2020,8
PA,ALLEGHENY,2020,24
UT,SALT LAKE,2020,37
MT,GLACIER,2020,66
MT,BEAVERHEAD,2020,44
MT,MISSOULA,2020,48
AK,SKAGWAY-HOONAH-ANGOON,2022,16
AK,BETHEL,2022,21
VA,LOUDOUN,2022,17
DE,NEW CASTLE,2022,8
OH,FRANKLIN,2022,34
OH,CLINTON,2022,16
MI,WAYNE,2022,59
MN,OLMSTED,2022,90
SD,DAVISON,2022,47
MN,SHERBURNE,2022,115
SD,HUGHES,2022,39
WI,WOOD,2022,84
MT,GALLATIN,2022,107
OH,FRANKLIN,2020,22
NV,WASHOE,2020,10
CT,FAIRFIELD,2020,14
IL,PEORIA,2020,30
MI,GENESEE,2020,61
IN,MIAMI,2020,13
NE,SCOTTS BLUFF,2020,24
UT,DAVIS,2020,45
NV,ELKO,2020,35
NH,MERRIMACK,2020,98
WI,CHIPPEWA,2020,89
SD,HUGHES,2020,63
ND,BURLEIGH,2020,60
AK,NORTH SLOPE BOROUGH,2021,16
LA,BOSSIER,2021,5
MS,LEE,2021,4
IL,PEORIA,2021,37
MI,CLINTON,2021,75
VT,CHITTENDEN,2021,102
MI,GENESEE,2021,75
MT,YELLOWSTONE,2021,53
MT,MISSOULA,2021,44
WA,PIERCE,2021,10
MA,NORFOLK,2021,36
TN,HAMILTON,2020,2
WV,KANAWHA,2020,16
NE,SARPY,2020,33
WI,MILWAUKEE,2020,44
SD,DAVISON,2020,82
AK,JUNEAU BOROUGH,2022,68
NC,WAKE,2022,3
MD,ANNE ARUNDEL,2022,14
NY,QUEENS,2022,15
PA,LEBANON,2022,3
OH,LUCAS,2022,31
NV,ELKO,2022,62
SD,BROWN,2022,66
WY,FREMONT,2022,93
MT,YELLOWSTONE,2022,87
MT,FERGUS,2022,23
MN,ST. LOUIS,2022,162
MT,LEWIS AND CLARK,2022,99
CO,EL PASO,2022,53
KS,SHERMAN,2020,18
MI,SAGINAW,2020,45
ID,ADA,2020,10
MT,LEWIS AND CLARK,2020,35
CO,EL PASO,2020,45
OH,LUCAS,2020,25
SD,WALWORTH,2020,70
AK,SITKA BOROUGH,2020,5
TX,POTTER,2020,11
MO,ST. LOUIS,2020,10
KS,FORD,2020,24
IN,ALLEN,2020,29
NE,DOUGLAS,2020,47
AR,SEBASTIAN,2021,9
PA,DAUPHIN,2021,26
KY,FAYETTE,2021,21
KS,CLOUD,2021,23
OH,CUYAHOGA,2021,41
UT,SALT LAKE,2021,36
WI,WINNEBAGO,2021,11
SD,MINNEHAHA,2021,61
SD,BEADLE,2021,56
SD,BROWN,2021,63
MT,GLACIER,2021,46
TX,TAYLOR,2021,9
NM,BERNALILLO,2021,8
IL,ST. CLAIR,2021,12
IA,BLACK HAWK,2021,74
MN,HENNEPIN,2021,86
WA,SPOKANE,2021,50
NJ,ATLANTIC,2022,11
OH,MONTGOMERY,2022,32
CO,ALAMOSA,2022,29
NV,WASHOE,2022,18
PA,ALLEGHENY,2022,40
IL,COOK,2022,67
NE,DOUGLAS,2022,29
NE,MADISON,2022,11
WY,NATRONA,2022,81
MI,KALAMAZOO,2022,23
SD,MINNEHAHA,2022,45
SD,WALWORTH,2022,55
MT,GLACIER,2022,84
MA,HAMPDEN,2022,31
UT,TOOELE,2021,2
TX,TRAVIS,2021,9
AK,NOME,2021,13
NE,LINCOLN,2021,31
WI,BROWN,2021,72
MA,HAMPDEN,2021,35
WI,JUNEAU,2021,73
WV,RANDOLPH,2021,42
MO,ST. LOUIS,2021,18
PA,LEHIGH,2021,28
NE,DOUGLAS,2021,46
OR,MULTNOMAH,2021,12
MT,CASCADE,2021,43
NY,JEFFERSON,2021,86
MD,ANNE ARUNDEL,2021,15
KY,JEFFERSON,2021,21
NV,WHITE PINE,2021,48
WY,LARAMIE,2021,45
ID,POWER,2021,30
NM,UNION,2021,7
OR,UMATILLA,2021,17
CO,PUEBLO,2022,22
IL,WINNEBAGO,2022,61
IA,POLK,2022,75
IA,CERRO GORDO,2022,88
NE,LINCOLN,2022,26
WY,LARAMIE,2022,57
WI,WINNEBAGO,2022,77
ND,WARD,2022,40
MT,FLATHEAD,2022,74
WA,SPOKANE,2022,88
OH,GREENE,2022,15
WA,ISLAND,2021,10
DE,NEW CASTLE,2021,12
PA,ALLEGHENY,2021,31
OH,RICHLAND,2021,33
OH,FRANKLIN,2021,26
IN,MARION,2021,27
IN,ST. JOSEPH,2021,47
MI,MACOMB,2021,32
NV,ELKO,2021,27
MT,VALLEY,2021,41
AK,WADE HAMPTON,2021,11
CO,PUEBLO,2021,19
IN,MIAMI,2021,25
OH,LUCAS,2021,30
MD,HARFORD,2020,2
NH,COOS,2022,189
VA,ROANOKE,2022,16
MO,GREENE,2022,18
CO,ARAPAHOE,2022,42
PA,LEHIGH,2022,14
MI,CLINTON,2022,66
MD,PRINCE GEORGE'S,2022,11
VA,ARLINGTON,2021,7
KS,FORD,2022,16
NE,LANCASTER,2022,12
OR,UMATILLA,2022,29
NY,JEFFERSON,2022,94
PA,LEBANON,2020,8
NV,HUMBOLDT,2020,18
TN,BLOUNT,2020,7
ID,ELMORE,2020,5
MA,HAMPDEN,2020,24
MD,HARFORD,2022,6
KS,GEARY,2022,7
KS,SHERMAN,2022,27
WA,PIERCE,2022,3
VA,ARLINGTON,2022,11
IA,WOODBURY,2022,26
KY,BOONE,2022,29
KY,JEFFERSON,2022,19
KS,SHAWNEE,2022,24
IN,MIAMI,2022,29
NE,CHERRY,2022,31
NC,GUILFORD,2022,10
AR,SEBASTIAN,2022,13
AR,WASHINGTON,2022,17
DC,LOUDOUN,2022,17
SD,MEADE,2022,7
PA,DAUPHIN,2022,19
ID,NEZ PERCE,2022,28
AK,ANCHORAGE BOROUGH,2004,122
NY,MONROE,2004,87
SD,MINNEHAHA,2004,41
MI,KENT,2004,83
AK,KODIAK ISLAND BOROUGH,2004,56
AK,BRISTOL BAY BOROUGH,2004,104
WA,KITTITAS,2004,96
AK,ALEUTIANS WEST,2004,90
NY,ALBANY,2004,46
AK,NOME,2004,90
IL,COOK,2004,49
VA,HENRICO,2004,15
