"","WBANID","COUNTY"
"1","24285","LINCOLN"
"2","25322","SKAGWAY-HOONAH-ANGOON"
"3","25325","KETCHIKAN GATEWAY BOROUGH"
"4","26489","DENALI BOROUGH"
"5","46403","DENALI BOROUGH"
"6","26429","DENALI BOROUGH"
"7","25335","SKAGWAY-HOONAH-ANGOON"
"8","25338","WRANGELL-PETERSBURG"
"9","53864","SHELBY"
"10","13896","COLBERT"
"11","93806","TUSCALOOSA"
"12","93926","MONROE"
"13","23104","MARICOPA"
"14","03195","COCONINO"
"15","23108","MOHAVE"
"16","93167","MOHAVE"
"17","93027","APACHE"
"18","23191","LOS ANGELES"
"19","23161","SAN BERNARDINO"
"20","23167","FRESNO"
"21","23106","FRESNO"
"22","93193","FRESNO"
"23","23179","SAN BERNARDINO"
"24","24216","TEHAMA"
"25","24264","SHASTA"
"26","24206","SHASTA"
"27","24257","SHASTA"
"28","03172","SAN DIEGO"
"29","03131","SAN DIEGO"
"30","23188","SAN DIEGO"
"31","93107","SAN DIEGO"
"32","93112","SAN DIEGO"
"33","23196","SAN DIEGO"
"34","03178","SAN DIEGO"
"35","23234","SAN MATEO"
"36","93206","SAN LUIS OBISPO"
"37","24258","LASSEN"
"38","93005","LA PLATA"
"39","94035","LARIMER"
"40","23066","MESA"
"41","03013","PROWERS"
"42","93013","MONTROSE"
"43","03016","GARFIELD"
"44","93010","LINCOLN"
"45","14707","NEW LONDON"
"46","14758","NEW HAVEN"
"47","54767","WINDHAM"
"48","13781","NEW CASTLE"
"49","12827","FRANKLIN"
"50","12832","FRANKLIN"
"51","12868","BREVARD"
"52","13884","OKALOOSA"
"53","12820","MARION"
"54","12835","LEE"
"55","12894","LEE"
"56","12826","DADE"
"57","12836","MONROE"
"58","12850","MONROE"
"59","12838","BREVARD"
"60","92802","PASCO"
"61","12861","MARION"
"62","13899","ESCAMBIA"
"63","03855","ESCAMBIA"
"64","93805","LEON"
"65","12886","BREVARD"
"66","12898","BREVARD"
"67","12843","INDIAN RIVER"
"68","53819","FAYETTE"
"69","93802","CHATHAM"
"70","13824","CHATHAM"
"71","03822","CHATHAM"
"72","13861","WARE"
"73","94979","CLINTON"
"74","14937","JOHNSON"
"75","24136","KOOTENAI"
"76","24142","GOODING"
"77","94161","BLAINE"
"78","24149","NEZ PERCE"
"79","24151","ONEIDA"
"80","24196","LEMHI"
"81","03960","ST. CLAIR"
"82","94846","COOK"
"83","04949","MCDONOUGH"
"84","93894","JEFFERSON"
"85","53822","RICHLAND"
"86","13980","HARPER"
"87","93076","MORTON"
"88","93997","RUSSELL"
"89","13922","SALINE"
"90","93998","SALINE"
"91","03919","SALINE"
